Average Train Loss 0.02466400 | step 10 | Epoch 0
Average Train Loss 0.02257994 | step 20 | Epoch 0
Average Train Loss 0.02122030 | step 30 | Epoch 0
Average Train Loss 0.01929889 | step 40 | Epoch 0
Average Train Loss 0.01901900 | step 50 | Epoch 0
Average Train Loss 0.01755258 | step 60 | Epoch 0
Average Train Loss 0.01546036 | step 70 | Epoch 0
Average Train Loss 0.01526428 | step 80 | Epoch 0
Average Train Loss 0.01524575 | step 90 | Epoch 0
Average Train Loss 0.01227989 | step 100 | Epoch 0
Average Train Loss 0.01279487 | step 110 | Epoch 0
Average Train Loss 0.01188630 | step 120 | Epoch 0
Average Train Loss 0.01133699 | step 130 | Epoch 0
Average Train Loss 0.01038208 | step 140 | Epoch 0
Average Train Loss 0.01027314 | step 150 | Epoch 0
Average Train Loss 0.00988995 | step 160 | Epoch 0
Average Train Loss 0.00895150 | step 170 | Epoch 0
Average Train Loss 0.00899108 | step 180 | Epoch 0
Average Train Loss 0.00917535 | step 190 | Epoch 0
Average Train Loss 0.00932787 | step 200 | Epoch 0
Average Train Loss 0.00859490 | step 210 | Epoch 0
Average Train Loss 0.00852698 | step 220 | Epoch 0
Average Train Loss 0.00810643 | step 230 | Epoch 0
Average Train Loss 0.00757612 | step 240 | Epoch 0
Average Train Loss 0.00775047 | step 250 | Epoch 0
Average Train Loss 0.00770323 | step 260 | Epoch 0
Average Train Loss 0.00830125 | step 270 | Epoch 0
Average Train Loss 0.00699275 | step 280 | Epoch 0
Average Train Loss 0.00731095 | step 290 | Epoch 0
Average Train Loss 0.00686713 | step 300 | Epoch 0
Average Train Loss 0.00639125 | step 310 | Epoch 0
Average Train Loss 0.00696476 | step 320 | Epoch 0
Average Train Loss 0.00703261 | step 330 | Epoch 0
Average Train Loss 0.00705612 | step 340 | Epoch 0
Average Train Loss 0.00639233 | step 350 | Epoch 0
Average Train Loss 0.00684165 | step 360 | Epoch 0
Average Train Loss 0.00663218 | step 370 | Epoch 0
Average Train Loss 0.00643473 | step 380 | Epoch 0
Average Train Loss 0.00642026 | step 390 | Epoch 0
Average Train Loss 0.00682377 | step 400 | Epoch 0
Average Train Loss 0.00639040 | step 410 | Epoch 0
Average Train Loss 0.00562074 | step 420 | Epoch 0
Average Train Loss 0.00560848 | step 430 | Epoch 0
Average Train Loss 0.00596160 | step 440 | Epoch 0
Average Train Loss 0.00591935 | step 450 | Epoch 0
Average Train Loss 0.00605046 | step 460 | Epoch 0
Average Train Loss 0.00569895 | step 470 | Epoch 0
Average Train Loss 0.00544953 | step 480 | Epoch 0
Average Train Loss 0.00579349 | step 490 | Epoch 0
Average Train Loss 0.00558421 | step 500 | Epoch 0
Average Train Loss 0.00607893 | step 510 | Epoch 0
Average Train Loss 0.00579035 | step 520 | Epoch 0
Average Train Loss 0.00547251 | step 530 | Epoch 0
Average Train Loss 0.00574363 | step 540 | Epoch 0
Average Train Loss 0.00517783 | step 550 | Epoch 0
Average Train Loss 0.00535778 | step 560 | Epoch 0
Average Train Loss 0.00514524 | step 570 | Epoch 0
Average Train Loss 0.00533290 | step 580 | Epoch 0
Average Train Loss 0.00490958 | step 590 | Epoch 0
Average Train Loss 0.00510604 | step 600 | Epoch 0
Average Train Loss 0.00529297 | step 610 | Epoch 0
Average Train Loss 0.00543090 | step 620 | Epoch 0
Average Train Loss 0.00568680 | step 630 | Epoch 0
Average Train Loss 0.00509680 | step 640 | Epoch 0
Average Train Loss 0.00523382 | step 650 | Epoch 0
Average Train Loss 0.00523930 | step 660 | Epoch 0
Average Train Loss 0.00540414 | step 670 | Epoch 0
Average Train Loss 0.00521845 | step 680 | Epoch 0
Average Train Loss 0.00481006 | step 690 | Epoch 0
Average Train Loss 0.00484769 | step 700 | Epoch 0
Average Train Loss 0.00476463 | step 710 | Epoch 0
Average Train Loss 0.00492439 | step 720 | Epoch 0
Average Train Loss 0.00550829 | step 730 | Epoch 0
Average Train Loss 0.00485050 | step 740 | Epoch 0
Average Train Loss 0.00489458 | step 750 | Epoch 0
Average Train Loss 0.00497314 | step 760 | Epoch 0
Average Train Loss 0.00469062 | step 770 | Epoch 0
Average Train Loss 0.00457887 | step 780 | Epoch 0
Average Train Loss 0.00478687 | step 790 | Epoch 0
Average Train Loss 0.00471741 | step 800 | Epoch 0
Average Train Loss 0.00471296 | step 810 | Epoch 0
Average Train Loss 0.00440445 | step 820 | Epoch 0
Average Train Loss 0.00456286 | step 830 | Epoch 0
Average Train Loss 0.00448518 | step 840 | Epoch 0
Average Train Loss 0.00459380 | step 850 | Epoch 0
Average Train Loss 0.00466120 | step 860 | Epoch 0
Average Train Loss 0.00472980 | step 870 | Epoch 0
Average Train Loss 0.00448875 | step 880 | Epoch 0
Average Train Loss 0.00467186 | step 890 | Epoch 0
Average Train Loss 0.00483240 | step 900 | Epoch 0
Average Train Loss 0.00474261 | step 910 | Epoch 0
Average Train Loss 0.00502483 | step 920 | Epoch 0
Average Train Loss 0.00496677 | step 930 | Epoch 0
Average Train Loss 0.00501594 | step 940 | Epoch 0
Average Train Loss 0.00459364 | step 950 | Epoch 0
Average Train Loss 0.00454654 | step 960 | Epoch 0
Average Train Loss 0.00462824 | step 970 | Epoch 0
Average Train Loss 0.00441910 | step 980 | Epoch 0
Average Train Loss 0.00468760 | step 990 | Epoch 0
Average Train Loss 0.00435808 | step 1000 | Epoch 0
Average Validation Loss 0.00438716 | step 1000 | Epoch 0
Average Train Loss 0.00425473 | step 1010 | Epoch 0
Average Train Loss 0.00424015 | step 1020 | Epoch 0
Average Train Loss 0.00426449 | step 1030 | Epoch 0
Average Train Loss 0.00467744 | step 1040 | Epoch 0
Average Train Loss 0.00434940 | step 1050 | Epoch 0
Average Train Loss 0.00439870 | step 1060 | Epoch 0
Average Train Loss 0.00454149 | step 1070 | Epoch 0
Average Train Loss 0.00420793 | step 1080 | Epoch 0
Average Train Loss 0.00416711 | step 1090 | Epoch 0
Average Train Loss 0.00421943 | step 1100 | Epoch 0
Average Train Loss 0.00433339 | step 1110 | Epoch 0
Average Train Loss 0.00446444 | step 1120 | Epoch 0
Average Train Loss 0.00413833 | step 1130 | Epoch 0
Average Train Loss 0.00451974 | step 1140 | Epoch 0
Average Train Loss 0.00399387 | step 1150 | Epoch 0
Average Train Loss 0.00457250 | step 1160 | Epoch 0
Average Train Loss 0.00418238 | step 1170 | Epoch 0
Average Train Loss 0.00449863 | step 1180 | Epoch 0
Average Train Loss 0.00446256 | step 1190 | Epoch 0
Average Train Loss 0.00401973 | step 1200 | Epoch 0
Average Train Loss 0.00423629 | step 1210 | Epoch 0
Average Train Loss 0.00417526 | step 1220 | Epoch 0
Average Train Loss 0.00415535 | step 1230 | Epoch 0
Average Train Loss 0.00437459 | step 1240 | Epoch 0
Average Train Loss 0.00364383 | step 1250 | Epoch 0
Average Train Loss 0.00402028 | step 1260 | Epoch 0
Average Train Loss 0.00402048 | step 1270 | Epoch 0
Average Train Loss 0.00406973 | step 1280 | Epoch 0
Average Train Loss 0.00416786 | step 1290 | Epoch 0
Average Train Loss 0.00378247 | step 1300 | Epoch 0
Average Train Loss 0.00381275 | step 1310 | Epoch 0
Average Train Loss 0.00426399 | step 1320 | Epoch 0
Average Train Loss 0.00388781 | step 1330 | Epoch 0
Average Train Loss 0.00395636 | step 1340 | Epoch 0
Average Train Loss 0.00420314 | step 1350 | Epoch 0
Average Train Loss 0.00391737 | step 1360 | Epoch 0
Average Train Loss 0.00414456 | step 1370 | Epoch 0
Average Train Loss 0.00367187 | step 1380 | Epoch 0
Average Train Loss 0.00379885 | step 1390 | Epoch 0
Average Train Loss 0.00396267 | step 1400 | Epoch 0
Average Train Loss 0.00385074 | step 1410 | Epoch 0
Average Train Loss 0.00355406 | step 1420 | Epoch 0
Average Train Loss 0.00405251 | step 1430 | Epoch 0
Average Train Loss 0.00401109 | step 1440 | Epoch 0
Average Train Loss 0.00384992 | step 1450 | Epoch 0
Average Train Loss 0.00382018 | step 1460 | Epoch 0
Average Train Loss 0.00361576 | step 1470 | Epoch 0
Average Train Loss 0.00384890 | step 1480 | Epoch 0
Average Train Loss 0.00409597 | step 1490 | Epoch 0
Average Train Loss 0.00375599 | step 1500 | Epoch 0
Average Train Loss 0.00378145 | step 1510 | Epoch 0
Average Train Loss 0.00366951 | step 1520 | Epoch 0
Average Train Loss 0.00404751 | step 1530 | Epoch 0
Average Train Loss 0.00377682 | step 1540 | Epoch 0
Average Train Loss 0.00395732 | step 1550 | Epoch 0
Average Train Loss 0.00367950 | step 1560 | Epoch 0
Average Train Loss 0.00391150 | step 1570 | Epoch 0
Average Train Loss 0.00367376 | step 1580 | Epoch 0
Average Train Loss 0.00385202 | step 1590 | Epoch 0
Average Train Loss 0.00413360 | step 1600 | Epoch 0
Average Train Loss 0.00379600 | step 1610 | Epoch 0
Average Train Loss 0.00385431 | step 1620 | Epoch 0
Average Train Loss 0.00357130 | step 1630 | Epoch 0
Average Train Loss 0.00417584 | step 1640 | Epoch 0
Average Train Loss 0.00390812 | step 1650 | Epoch 0
Average Train Loss 0.00384379 | step 1660 | Epoch 0
Average Train Loss 0.00355272 | step 1670 | Epoch 0
Average Train Loss 0.00398758 | step 1680 | Epoch 0
Average Train Loss 0.00366611 | step 1690 | Epoch 0
Average Train Loss 0.00377751 | step 1700 | Epoch 0
Average Train Loss 0.00396089 | step 1710 | Epoch 0
Average Train Loss 0.00385234 | step 1720 | Epoch 0
Average Train Loss 0.00388782 | step 1730 | Epoch 0
Average Train Loss 0.00350476 | step 1740 | Epoch 0
Average Train Loss 0.00332180 | step 1750 | Epoch 0
Average Train Loss 0.00343907 | step 1760 | Epoch 0
Average Train Loss 0.00345621 | step 1770 | Epoch 0
Average Train Loss 0.00390030 | step 1780 | Epoch 0
Average Train Loss 0.00364361 | step 1790 | Epoch 0
Average Train Loss 0.00355284 | step 1800 | Epoch 0
Average Train Loss 0.00378451 | step 1810 | Epoch 0
Average Train Loss 0.00371879 | step 1820 | Epoch 0
Average Train Loss 0.00353158 | step 1830 | Epoch 0
Average Train Loss 0.00381104 | step 1840 | Epoch 0
Average Train Loss 0.00369780 | step 1850 | Epoch 0
Average Train Loss 0.00360908 | step 1860 | Epoch 0
Average Train Loss 0.00354490 | step 1870 | Epoch 0
Average Train Loss 0.00349532 | step 1880 | Epoch 0
Average Train Loss 0.00361989 | step 1890 | Epoch 0
Average Train Loss 0.00373854 | step 1900 | Epoch 0
Average Train Loss 0.00365815 | step 1910 | Epoch 0
Average Train Loss 0.00351696 | step 1920 | Epoch 0
Average Train Loss 0.00351449 | step 1930 | Epoch 0
Average Train Loss 0.00358592 | step 1940 | Epoch 0
Average Train Loss 0.00376197 | step 1950 | Epoch 0
Average Train Loss 0.00376684 | step 1960 | Epoch 0
Average Train Loss 0.00346791 | step 1970 | Epoch 0
Average Train Loss 0.00337101 | step 1980 | Epoch 0
Average Train Loss 0.00341925 | step 1990 | Epoch 0
Average Train Loss 0.00357199 | step 2000 | Epoch 0
Average Validation Loss 0.00363951 | step 2000 | Epoch 0
Average Train Loss 0.00376193 | step 2010 | Epoch 0
Average Train Loss 0.00356315 | step 2020 | Epoch 0
Average Train Loss 0.00369229 | step 2030 | Epoch 0
Average Train Loss 0.00343240 | step 2040 | Epoch 0
Average Train Loss 0.00348829 | step 2050 | Epoch 0
Average Train Loss 0.00349809 | step 2060 | Epoch 0
Average Train Loss 0.00324660 | step 2070 | Epoch 0
